sweet,sour,spicy,bitter,fruity,dense,herb,Cluster,cocktail_name
0,1,0,0,0,0,0,6,Shark Attack
1,0,0,0,1,0,0,10,San Francisco
1,0,0,0,2,0,0,30,Space Odyssey
1,0,0,0,0,2,0,29,Sherry Eggnog
1,0,0,0,0,1,0,20,Sweet Bananas
1,2,0,0,2,0,0,4,Sweet Sangria
0,0,0,0,1,0,1,9,Scotch Cobbler
0,0,0,1,0,0,0,23,Spiking coffee
1,0,0,1,0,0,0,19,Swedish Coffee
1,1,0,0,2,0,0,4,Singapore Sling
0,0,0,0,0,1,0,5,Slippery Nipple
0,0,0,0,0,0,0,1,Snake Bite (UK)
0,0,0,0,0,1,0,5,Screaming Orgasm
0,0,0,0,3,0,0,2,Sex on the Beach
0,1,0,0,0,0,0,6,Sidecar Cocktail
0,0,0,0,0,0,0,1,Spritz Veneziano
0,0,0,1,0,0,0,23,Sloe Gin Cocktail
1,0,0,0,0,2,0,29,Spanish chocolate
1,1,0,0,2,0,0,4,Sangria The  Best
1,1,0,0,0,0,0,8,Shanghai Cocktail
1,1,0,0,2,0,0,4,Spiced Peach Punch
1,0,0,0,1,0,0,10,Strawberry Shivers
1,1,0,0,2,0,0,4,Strawberry Daiquiri
1,1,0,0,1,0,0,0,Strawberry Lemonade
0,0,0,0,0,0,0,1,Snakebite and Black
0,1,0,0,3,0,0,2,Sunny Holiday Punch
0,0,0,0,0,1,0,5,Surf City Lifesaver
0,1,0,0,2,0,0,4,Strawberry Margarita
3,0,0,0,0,0,0,7,Salted Toffee Martini
1,1,0,0,0,0,0,8,Scottish Highland Liqueur
0,1,0,0,3,0,2,2,Smashed Watermelon Margarita
0,0,0,0,1,0,0,9,Thriller
0,1,0,0,1,0,0,11,The Galah
2,0,0,1,0,0,0,7,Tia-Maria
1,0,0,0,0,0,0,15,Tipperary
0,0,0,0,1,0,0,9,Turkeyball
0,0,0,0,0,2,0,29,Texas Sling
1,0,0,1,0,1,0,21,Thai Coffee
1,1,0,0,2,0,0,4,Tom Collins
0,1,0,0,0,0,0,6,Tomato Tang
